math score,reading score,writing score,placement score,club join year,placement offer count,Gender
55,71,33,15,2020,1,male
40,65,44,67,2019,1,female
15,57,59,39,2021,1,male
9,74,23,26,2019,1,male
66,87,69,72,2018,1,male
76,94,69,87,2021,3,male
60,89,73,76,2019,2,female
68,77,77,84,2022,2,female
78,86,76,97,2018,3,female
68,84,78,88,2019,3,female
65,90,78,95,2020,3,female
64,77,65,80,2021,2,male
,,71,73,2021,1,female
69,,72,,2019,3,male
76,,60,78,2019,2,female
79,76,63,83,2021,2,male
70,88,80,77,2022,2,female
62,94,79,85,2019,3,female
65,75,78,87,2020,3,female
64,86,77,83,2018,2,female
66,93,61,79,2020,2,female
60,87,61,94,2019,3,male
61,79,64,99,2022,3,male
62,92,74,77,2021,2,male
77,86,79,79,2018,2,male
88,250,88,110,2020,3,male
98,500,94,300,2021,3,female
100,100,106,123,2019,3,female
150,96,85,101,2018,3,female
