math score,reading score,writing score,placement score,club join year,placement offer count
11,33,24,34,2018,3
27,55,41,8,2020,3
32,13,20,10,2020,2
73,80,74,82,2020,2
70,77,60,77,2020,2
68,94,67,71,2019,1
67,79,61,74,2021,1
74,75,77,97,2018,3
60,75,74,84,2018,2
72,93,68,96,2018,3
62,81,77,86,2020,3
62,77,76,76,2018,2
69,92,74,92,2021,3
67,91,61,87,2022,3
74,87,77,86,2019,3
66,92,72,93,2020,3
63,88,66,90,2019,3
78,95,74,89,2020,3
74,92,76,97,2022,3
77,75,60,81,2021,2
72,77,63,81,2022,2
72,94,73,93,2019,3
65,77,68,77,2019,2
61,79,80,95,2022,3
79,75,72,86,2022,3
80,85,62,74,2020,1
433,300,290,368,2022,3
250,500,150,459,2020,3
100,400,344,230,2020,3
